Make,Model,Price,Year,Kilometer,Number of Owners,Engine (CC),Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Honda,Amaze 1.2 SX i-VTEC,445000,2016,63882,1,1198,3990,1680,1505,5,35
Toyota,Corolla Altis 1.8 G,493000,2012,28732,1,1798,4540,1760,1480,5,55
Hyundai,Elite i20 Sportz 1.2 (O),611000,2017,51349,1,1197,3985,1734,1505,5,45
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],475000,2014,61866,1,1197,3765,1660,1520,5,43
Hyundai,Creta SX Plus 1.6  Petrol,925000,2017,29401,1,1591,4270,1780,1630,5,60
Audi,A6 2.0 TDI Premium,1325000,2012,98580,1,1968,4915,1874,1455,5,65
BMW,X1 sDrive20d xLine,3900000,2021,8000,1,1995,4454,2044,1545,5,63
Mahindra,XUV300 W8 (O) 1.5 Diesel,1299000,2020,31348,1,1497,3995,1821,1627,5,42
Maruti Suzuki,Swift ZDi Plus,580000,2018,28851,1,1248,3840,1735,1530,5,37
Mahindra,Thar LX 4-STR Hard Top Petrol MT,1575000,2021,8519,1,1997,3985,1820,1844,4,57
Honda,City 1.5 S MT,375000,2011,78000,1,1497,4420,1695,1480,5,42
Mercedes-Benz,E-Class E 250 CDI Avantgarde,2250000,2015,48000,1,2143,4879,1854,1474,5,80
Toyota,Fortuner 3.0 4x2 AT,1400000,2014,143000,2,2982,4705,1840,1850,7,80
Tata,Zest XM 75 PS Diesel,425000,2017,39000,1,1248,3995,1706,1570,5,44
Skoda,Rapid Ambition 1.6 MPI AT Plus,425000,2014,24000,2,1598,4386,1699,1466,5,55
Maruti Suzuki,Alto 800 Lxi,250000,2015,62000,2,796 ,3395,1490,1475,5,35
Maruti Suzuki,Ertiga VDi,425000,2012,78000,2,1248,4265,1695,1685,7,45
Hyundai,Santro GL LPG,120000,2009,48500,4,1086,3565,1525,1590,5,35
Ford,Figo Duratorq Diesel ZXI 1.4,235000,2014,82000,2,1399,3795,1680,1427,5,45
Audi,A3 35 TDI Technology + Sunroof,3050000,2020,40910,1,1968,4456,1796,1416,5,50
Tata,Harrier XZ Plus,2145000,2020,10290,1,1956,4598,1894,1706,5,50
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,1245000,2021,10530,1,998 ,3995,1775,1505,5,37
Hyundai,Elite i20 Asta 1.2,549000,2015,61900,1,1197,3985,1734,1505,5,45
Volkswagen,Polo Highline1.2L (D),484999,2013,78000,2,1199,3970,1682,1453,5,45
Maruti Suzuki,Swift DZire VXI,415000,2014,57402,1,1197,3995,1695,1555,5,42
Hyundai,Santro GL (CNG),200000,2013,57000,1,1086,3565,1525,1590,5,35
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],375000,2015,87500,1,1197,3765,1660,1520,5,43
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],1875000,2022,18000,1,1353,4300,1790,1635,5,50
Audi,Q2 Premium Plus I 40 TFSI quattro,2950000,2020,10700,1,1984,4318,1805,1548,5,55
Audi,Q7 45 TDI Premium Plus,4900000,2018,78000,1,2967,5052,1968,1740,7,75
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,1050000,2020,16282,1,998 ,3995,1775,1505,5,37
Hyundai,Verna Fluidic 1.6 CRDi SX,470000,2013,66000,3,1582,4370,1700,1475,5,43
Maruti Suzuki,Wagon R VXI,345000,2017,72019,2,998 ,3599,1495,1700,5,35
Mahindra,Scorpio 2.6 Turbo 7 Str,550000,2007,92170,2,2609,4495,1817,1975,7,60
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],484999,2018,55221,1,1197,3765,1660,1520,5,43
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3350000,2018,25000,1,2755,4795,1855,1835,7,80
Renault,Duster RXS 1.5 Petrol MT,890000,2020,23500,1,1498,4360,1822,1695,5,50
Maruti Suzuki,Swift DZire VXI,325000,2012,68000,2,1197,3995,1695,1555,5,42
Hyundai,Creta SX 1.6 AT Petrol,1390000,2019,29096,1,1591,4270,1780,1665,5,55
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],459999,2016,61223,1,1197,3765,1660,1520,5,43
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],1075000,2017,86000,1,1956,4395,1818,1640,5,60
Hyundai,Verna EX 1.6 CRDi [2017-2018],484999,2013,87000,1,1582,4440,1729,1475,5,45
Hyundai,i20 Magna 1.2,385000,2013,79287,1,1197,3995,1710,1505,5,45
Audi,A6 35 TDI Matrix,3900000,2018,48945,1,1968,4933,1874,1455,5,75
Mahindra,Marazzo M2 8 STR,1050000,2019,17000,1,1497,4585,1866,1774,8,45
Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],1575000,2019,55000,1,1493,4315,1800,1645,5,50
Maruti Suzuki,Baleno Alpha 1.2,655000,2016,38779,1,1197,3995,1745,1500,5,37
Mercedes-Benz,E-Class E 220d Expression [2019-2019],4500000,2019,72000,1,1950,5063,1860,1494,5,80
Maruti Suzuki,Ertiga ZDI + SHVS,865000,2016,67000,1,1248,4296,1695,1685,7,45
Hyundai,Verna Fluidic 1.6 VTVT SX,699000,2017,67000,1,1591,4370,1700,1475,5,43
Hyundai,Verna Fluidic 1.6 CRDi SX,425000,2012,70000,2,1582,4370,1700,1475,5,43
Land Rover,Discovery Sport S,6500000,2020,6000,1,1999,4600,2069,1724,7,70
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2900000,2017,46000,1,2755,4795,1855,1835,7,80
Mercedes-Benz,GLE 250 d,4550000,2017,34000,1,2143,4819,2141,1796,5,93
Hyundai,Xcent S 1.2 (O),490000,2015,23103,1,1197,3995,1660,1520,5,43
Mercedes-Benz,S-Class Maybach S 500,11500000,2016,27000,1,4663,5453,1899,1498,4,70
Hyundai,Creta SX 1.6 AT Petrol,1475000,2019,9576,1,1591,4270,1780,1665,5,55
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],1729000,2020,27000,1,1451,4655,1835,1760,5,60
MG,Astor Sharp 1.5 CVT,1764999,2021,1942,1,1498,4323,1809,1650,5,48
Honda,CR-V 2.4 AT,250000,2006,119300,3,2354,4630,1780,1710,5,58
Maruti Suzuki,Alto 800 Lxi,245000,2016,55000,1,796 ,3395,1490,1475,5,35
Renault,Duster 85 PS RxL,490000,2015,98000,2,1461,4315,1822,1695,5,50
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],550000,2017,61400,1,1197,3765,1660,1520,5,43
Honda,City V,675000,2016,87693,1,1497,4440,1695,1495,5,40
Mercedes-Benz,C-Class C 200 Avantgarde,2225000,2015,31000,1,1991,4686,1810,1442,5,66
Hyundai,Elite i20 Asta 1.4 (O) CRDi,560000,2016,75210,1,1396,3985,1734,1505,5,40
Skoda,Fabia Elegance 1.6 MPI,225000,2012,69000,1,1598,4000,1642,1522,5,45
Skoda,Rapid 1.5 TDI CR Ambition Plus AT,499000,2014,88000,2,1498,4386,1699,1466,5,55
Kia,Sonet GTX Plus 1.0 DCT [2020-2021],1055000,2020,15000,1,998 ,3995,1790,1647,5,45
Mahindra,XUV500 W11 AT,2048999,2020,45350,1,2179,4585,1890,1785,7,70
BMW,3-Series 320d Luxury Line,2775000,2018,68189,1,1995,4633,1811,1429,5,57
Mercedes-Benz,GLA 200 CDI Sport,1650000,2015,75000,1,2143,4417,1804,1494,5,50
Maruti Suzuki,Wagon R VXi,350000,2013,45000,1,998 ,3539,1495,1700,5,35
Audi,A6 35 TDI Premium,1450000,2014,33000,2,1968,4915,1874,1455,5,65
Mahindra,Scorpio VLX 2WD BS-IV,600000,2014,83000,2,2179,4430,1817,1975,8,60
Toyota,Fortuner 3.0 4x4 MT,1675000,2014,211000,1,2982,4705,1840,1850,7,80
Hyundai,Elite i20 Magna 1.2,575000,2015,67000,1,1197,3985,1734,1505,5,45
Ford,Ecosport Titanium+ 1.5L TDCi,699000,2017,75000,1,1498,3999,1765,1708,5,52
Audi,Q7 3.0 TDI quattro Premium Plus,2450000,2014,48600,2,2967,5089,1983,1737,6,100
Mercedes-Benz,C-Class C 250 d,2775000,2016,48000,1,2143,4686,1810,1442,5,66
Maruti Suzuki,S-Presso VXi,430000,2020,5790,1,998 ,3565,1520,1564,5,27
Mahindra,Scorpio S5 2WD 7 STR,1165000,2018,32000,1,2179,4456,1820,1995,7,60
MG,Hector Sharp 2.0 Diesel Turbo MT,1780000,2020,65433,1,1956,4655,1835,1760,5,60
Maruti Suzuki,Swift VDi BS-IV,295000,2011,87230,1,1248,3760,1690,1530,5,43
Maruti Suzuki,Swift ZDi,495000,2017,38258,2,1248,3840,1735,1530,5,37
Honda,City VX (O) MT,975000,2019,56881,1,1497,4440,1695,1495,5,40
Toyota,Innova 2.5 G4 7 STR,645000,2013,76000,2,2494,4555,1770,1755,7,55
Renault,Duster 110 PS RxL Diesel,425000,2014,72000,2,1461,4315,1822,1695,5,50
Mercedes-Benz,M-Class 350 CDI,3200000,2014,60514,1,2987,4781,1911,1774,5,95
Volvo,V40 Cross Country D3,1250000,2013,71141,1,1984,4370,1783,1458,5,60
BMW,5-Series 530d M Sport [2013-2017],5600000,2018,40937,1,2993,4899,2094,1464,5,65
Maruti Suzuki,Swift DZire VDI,560000,2013,37000,1,1248,3995,1695,1555,5,42
Mahindra,Scorpio S5 2WD 7 STR,1221000,2019,46000,1,2179,4456,1820,1995,7,60
Honda,City 1.5 S AT,295000,2009,70200,2,1497,4420,1695,1480,5,42
Mercedes-Benz,C-Class 200 CGI,1300000,2012,64800,1,1796,4596,1770,1447,5,66
Hyundai,Creta 1.6 SX Plus AT,950000,2016,73000,1,1582,4270,1780,1630,5,60
Mercedes-Benz,E-Class E350 CDI Avantgarde,1350000,2012,72000,2,2987,4868,1854,1471,5,80
Mercedes-Benz,M-Class ML 350 CDI,2682000,2015,76345,1,2997,4804,2141,1796,5,70
Maruti Suzuki,Alto 800 Lxi,286000,2017,40564,1,796 ,3395,1490,1475,5,35
Hyundai,i20 Magna 1.4 CRDI,340000,2013,98500,1,1336,3995,1710,1505,5,45
Skoda,Rapid Style AT,1125000,2020,46807,1,999 ,4413,1699,1466,5,55
Tata,Nexon XMA Petrol,580000,2018,81000,1,1198,3994,1811,1607,5,44
Maruti Suzuki,Swift DZire VXI,495000,2015,13716,1,1197,3995,1695,1555,5,42
Maruti Suzuki,Swift DZire ZDI,550000,2014,89000,1,1248,3995,1695,1555,5,42
Kia,Sonet GTX Plus 1.5 AT [2020-2021],1485000,2021,13000,1,1493,3995,1790,1647,5,45
Skoda,Rapid Monte Carlo 1.6 MPI MT,885000,2018,38000,1,1598,4413,1699,1466,5,55
Audi,RS5 4.2 Coupe,3650000,2012,25500,2,4163,4649,1860,1366,5,64
Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,715000,2020,17000,1,1197,3805,1680,1520,5,37
Mercedes-Benz,R-Class R350 4MATIC,2485000,2012,44724,1,3496,5157,2183,1659,7,80
Toyota,Innova 2.4 G 7 STR [2016-2017],2250000,2020,24549,2,2393,4735,1830,1795,7,55
Hyundai,Creta SX Plus 1.6 AT CRDI,1050000,2017,97000,1,1582,4270,1780,1630,5,60
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3600000,2018,7800,1,2755,4795,1855,1835,7,80
Honda,City 1.5 S MT,295000,2010,78000,1,1497,4420,1695,1480,5,42
Renault,Kwid RXT Opt,375000,2019,55000,1,799 ,3679,1579,1478,5,28
Tata,Safari XZA Plus 6S Adventure New,2395000,2021,13594,1,1956,4661,1894,1786,6,50
Audi,A6 2.0 TDI Premium,1775000,2014,75000,1,1968,4915,1874,1455,5,65
Maruti Suzuki,Ritz Vdi BS-IV,275000,2011,65000,1,1248,3715,1680,1620,5,43
Honda,Brio EX MT,325000,2014,43037,1,1198,3610,1680,1500,5,35
Maruti Suzuki,Swift ZDi,425000,2013,26000,1,1248,3850,1695,1530,5,42
Mahindra,Scorpio S9 2WD 7 STR,1475000,2020,78000,1,2179,4456,1820,1995,7,60
Toyota,Innova 2.8 GX AT 7 STR [2016-2020],1580000,2018,115000,1,2755,4735,1830,1795,7,55
Honda,Amaze VX CVT 1.2 Petrol,869000,2021,8700,1,1199,3995,1695,1501,5,35
Mercedes-Benz,GLE 250 d,5850000,2019,31000,1,2143,4819,2141,1796,5,93
Jeep,Compass Longitude Plus 2.0 Diesel 4x4 AT,1900000,2020,41736,1,1956,4395,1818,1640,5,60
Maserati,Levante Diesel,9000000,2017,40000,2,2979,5005,1981,1693,5,80
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3550000,2020,55000,1,2755,4795,1855,1835,7,80
Porsche,Cayenne Turbo,3500000,2014,160000,1,4806,4846,1939,1702,5,100
Toyota,Innova GX 2.4 AT 7 STR,2425000,2022,11000,1,2393,4735,1830,1795,7,55
Toyota,Fortuner 3.0 MT,750000,2011,117000,2,2982,4695,1840,1850,7,80
Audi,Q7 35 TDI Premium + Sunroof,2200000,2014,95000,1,2967,5089,1983,1737,7,100
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],520000,2019,76000,1,998 ,3655,1620,1675,5,60
Maruti Suzuki,Alto VXi (O),390000,2018,18000,1,998 ,3545,1490,1475,5,35
Maruti Suzuki,Ciaz VXi (O),540000,2015,38000,1,1373,4490,1730,1485,5,43
Maruti Suzuki,Swift VDi AMT [2018-2019],699000,2018,43000,1,1248,3840,1735,1530,5,37
Hyundai,Verna Fluidic 1.6 CRDi SX,484999,2013,107000,1,1582,4370,1700,1475,5,43
Mercedes-Benz,C-Class C 43 AMG,7500000,2021,13000,1,2996,4702,1810,1434,4,66
Mercedes-Benz,E-Class E250 CDI BlueEfficiency,850000,2011,85000,2,2143,4868,1854,1471,5,90
Tata,Nexon XZA Plus Petrol,1085000,2018,8922,1,1198,3994,1811,1607,5,44
Maruti Suzuki,Alto 800 Vxi,319000,2013,47800,1,796 ,3395,1490,1475,5,35
Mahindra,XUV500 W8,549000,2012,143000,1,2179,4585,1890,1785,7,70
Tata,Harrier XZ [2019-2020],1725000,2019,68758,1,1956,4598,1894,1706,5,50
Honda,Mobilio S Diesel,475000,2015,72000,2,1498,4386,1683,1603,7,42
Tata,Punch Creative iRA Pack MT,890000,2022,7500,1,1199,3827,1742,1615,5,37
Maruti Suzuki,Wagon R VXi,235000,2012,37000,2,998 ,3539,1495,1700,5,35
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],445000,2016,22402,1,1197,3765,1660,1520,5,43
Honda,City V,1060000,2019,12382,1,1497,4440,1695,1495,5,40
Maruti Suzuki,Baleno Alpha 1.3,690000,2017,61000,1,1248,3995,1745,1500,5,37
Jaguar,F-Pace Prestige,4200000,2018,90868,1,1999,4731,2071,1651,5,82
Land Rover,Range Rover Sport SE 2.0 Petrol,12500000,2022,22010,1,1997,4879,2073,1803,5,104
Toyota,Fortuner 3.0 4x4 AT,1750000,2015,72000,2,2982,4705,1840,1850,7,80
Renault,Kwid 1.0 RXT Edition,395000,2018,75500,1,999 ,3679,1579,1478,5,28
BMW,X1 sDrive20d Expedition,2790000,2018,25000,1,1995,4439,1821,1612,5,51
Audi,Q3 35 TDI quattro Premium Plus,2475000,2018,38000,1,1968,4385,1831,1608,5,64
Maruti Suzuki,Wagon R LXi Minor,145000,2009,39586,1,1061,3520,1475,1690,5,35
Hyundai,Elite i20 Asta 1.2 AT,750000,2018,33647,1,1197,3985,1734,1505,5,40
Mahindra,XUV500 W10,950000,2016,86000,1,2179,4585,1890,1785,7,70
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],569000,2018,57847,1,1197,3765,1660,1520,5,43
Maruti Suzuki,Swift DZire VXI,470000,2016,74000,1,1197,3995,1695,1555,5,42
Porsche,Cayenne Diesel,5350000,2015,58000,1,2967,4846,2155,1705,5,85
Nissan,Terrano XL D Plus,450000,2014,85000,2,1461,4331,1822,1671,5,50
Renault,Kwid 1.0 RXT [2016-2019],299000,2016,26000,1,999 ,3679,1579,1478,5,28
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],1875000,2020,18000,1,1353,4300,1790,1635,5,50
Mahindra,Thar LX 4-STR Hard Top Diesel AT,1825000,2022,11000,1,2184,3985,1820,1844,4,57
Land Rover,Discovery Sport HSE 7-Seater,4459000,2018,57300,1,2179,4600,2069,1724,7,65
BMW,5-Series 525d Sedan,1195000,2010,74000,2,2497,4841,1846,1468,5,70
Toyota,Glanza G CVT,790000,2019,25000,1,1197,3995,1745,1510,5,37
Hyundai,Creta 1.6 SX Plus AT Petrol,1095000,2017,39000,2,1591,4270,1780,1630,5,60
Toyota,Innova 2.4 G 7 STR [2016-2017],1950000,2020,45000,1,2393,4735,1830,1795,7,55
Volkswagen,Polo GT TSI,525000,2015,80852,2,1198,3970,1682,1453,5,45
Isuzu,MU-X 4x2,2100000,2018,75592,1,2999,4825,1860,1840,7,65
Maruti Suzuki,Alto VXi,270000,2014,54420,1,998 ,3620,1475,1460,5,35
Toyota,Corolla Altis G AT Petrol,894999,2015,39780,1,1798,4620,1775,1475,5,55
Hyundai,i10 Sportz 1.2 AT Kappa2,335000,2013,78301,2,1197,3585,1595,1550,5,35
Tata,Hexa XE 4x2 7 STR,1000000,2018,38000,1,2179,4788,1903,1791,7,60
Hyundai,i10 Sportz 1.2,220000,2009,126535,1,1197,3565,1595,1550,5,35
Hyundai,Creta 1.6 SX Plus AT Petrol,960000,2016,37079,1,1591,4270,1780,1630,5,60
Mercedes-Benz,GLS 350 d,7200000,2018,87200,1,2987,5130,1934,1850,7,100
Audi,Q3 2.0 TDI quattro Premium Plus,1300000,2014,51000,2,1968,4385,1831,1608,5,64
Volkswagen,Polo Comfortline 1.2L (P),375000,2013,39000,1,1198,3970,1682,1453,5,45
Jaguar,XE Prestige Diesel,3299000,2017,29999,1,1999,4795,1967,1416,5,56
Tata,Safari 4x2 EX TCIC,565000,2014,100472,1,1948,4810,1918,1925,7,65
Audi,Q3 35 TDI Premium + Sunroof,1798999,2016,84700,1,1968,4385,1831,1608,5,64
Maruti Suzuki,Alto LXi BS-III,189000,2008,19759,1,796 ,3495,1475,1460,5,35
Hyundai,Verna Fluidic 1.6 VTVT SX Opt,545000,2014,56000,1,1591,4370,1700,1475,5,43
Hyundai,Venue SX 1.0 Turbo iMT,1085000,2022,3383,1,998 ,3995,1770,1605,5,45
